RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Date,Home Value
99489,2287,98001,zip,WA,WA,Auburn,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,190218.0
99541,2289,98059,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,266077.0
99577,2388,98117,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,270680.0
99538,2401,98056,zip,WA,WA,Renton,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,237201.0
99623,2469,98198,zip,WA,WA,Des Moines,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,176346.0
99608,2524,98168,zip,WA,WA,Seatac,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,165833.0
99601,2563,98155,zip,WA,WA,Shoreline,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,224829.0
99512,2707,98027,zip,WA,WA,Issaquah,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,320378.0
99569,2826,98109,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,278477.0
99490,3119,98002,zip,WA,WA,Auburn,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,149452.0
99523,3145,98038,zip,WA,WA,Maple Valley,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,244257.0
99595,3746,98144,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,255693.0
99597,3768,98146,zip,WA,WA,Burien,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,198164.0
99552,3878,98074,zip,WA,WA,Sammamish,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,374997.0
99579,3943,98119,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,334039.0
99495,3961,98007,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,230611.0
99525,3983,98040,zip,WA,WA,Mercer Island,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,679967.0
99514,3996,98029,zip,WA,WA,Issaquah,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,309768.0
99567,4039,98107,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,256874.0
99499,4132,98011,zip,WA,WA,Bothell,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,260136.0
99568,4247,98108,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,190766.0
99550,4313,98072,zip,WA,WA,Woodinville,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,332767.0
99566,4413,98106,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,181218.0
99614,4425,98178,zip,WA,WA,Bryn Mawr-Skyway,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,193399.0
99576,4440,98116,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,305535.0
99572,4534,98112,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,470719.0
99496,4570,98008,zip,WA,WA,Bellevue,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,287606.0
99535,4815,98053,zip,WA,WA,Redmond,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,387190.0
99513,4885,98028,zip,WA,WA,Kenmore,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,265246.0
99584,5005,98126,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,2000-02-29,216158.0
